title,year,director,genres
Boomerang,,,
Armageddon,,,
Back to the Future,,,
Draft Day,,,
Crimson Tide,,,
Groundhog Day,,,
Gladiator,,,
While You Were Sleeping,,,
Escape From New York,,,
Ronin,,,
Ferris Bueller,,,
Love and Basketball,,,
Basic Instinct,,,
Enemy of the State,,,
Total Recall,,,
Tommy Boy,,,
Furious 7,,,
The Karate Kid,,,
Edge of Tomorrow,,,
Cast Away,,,
The Godfather Part III,,,
Contagion,,,
Ocean,,,
Vision Quest,,,
Higher Learning,,,
The Breakfast Club,,,
Once Upon a Time … in Hollywood,,,
The Re-Heat,,,
King of New York,,,
Unstoppable,,,
Dunkirk,,,
"The Talented Mr. Ripley,",,,
Happy Gilmore,,,
The Wolf of Wall Street,,,
Skyfall,,,
The Holiday,,,
The Shining,,,
Den of Thieves,,,
Mr. Mom,,,
Remember The Titans,,,
The Shawshank Redemption,,,
Beverly Hills Cop,,,
Butch Cassidy and the Sundance Kid,,,
Do The Right Thing,,,
Fatal Attraction,,,
Gone Girl,,,
Bloodsport,,,
Collateral,,,
The Town,,,
Reservoir Dogs,,,
Top Gun,,,
Inglourious Basterds,,,
When Harry Met Sally,,,
No Country for Old Men,,,
The Notebook,,,
Dead Poets Society,,,
The Hangover,,,
John Wick: Chapter 2,,,
Mean Girls,,,
Field of Dreams,,,
Major League,,,
Fast Five,,,
Pretty Woman,,,
The Natural,,,
Broadcast News,,,
Forgetting Sarah Marshall,,,
Reality Bites,,,
"Dave,",,,
A Star Is Born,,,
The Warriors,,,
Proof of Life,,,
The Fast and the Furious,,,
Old School,,,
The Godfather,,,
Tombstone,,,
Con Air,,,
The Firm,,,
All the President,,,
Dazed and Confused,,,
True Romance,,,
Rounders,,,
Taken,,,
"Mad Max: Fury Road,",,,
"Wedding Crashers,",,,
My Best Friend,,,
Die Hard,,,
Mission: Impossible,,,
Midnight Run,,,
Step Brothers,,,
"Jaws,",,,
Forrest Gump,,,
Jurassic Park,,,
Ocean,,,
Training Day,,,
The Social Network,,,
The Princess Bride,,,
Michael Clayton,,,
Inception,,,
The Big Lebowski,,,
Get Out,,,
Miami Vice,,,
Varsity Blues,,,
Good Will Hunting,,,
10 Things I Hate About You,,,
Zodiac,,,
48 Hrs,,,
Friday,,,
The Dark Knight,,,
Face/Off,,,
Scream,,,
